{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
Raw;(unspecified);Niobium;007440-03-1;1.93E-05;kg;1D8D8545-15FF-4ACD-9756-DE8C2D8C64A9
Raw;(unspecified);Palladium;007440-05-3;5.71E-01;kg;2E9C8293-8EDC-453A-8F6A-43B8E0ADCCD5
Raw;(unspecified);Palladium, Pd 1.6E-6%, in mixed ore;;5.71E-01;kg;000B2709-B8E8-430A-94E6-14150AEAEDE9
Raw;(unspecified);Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;007440-05-3;5.71E-01;kg;48612C52-B385-45B5-9015-6533C7FDC291
Raw;(unspecified);Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;007440-05-3;5.71E-01;kg;26650991-B835-425F-AC54-9D1B72E3A082
Raw;(unspecified);Phosphorus;007723-14-0;5.52E-06;kg;F956B560-932C-481E-AF9F-F7259EBA2906
Raw;(unspecified);Phosphorus, 18% in apatite, 4% in crude ore;007723-14-0;5.52E-06;kg;7AC8D925-7759-41CE-9F5D-A23E87924446
Raw;(unspecified);Platinum;007440-06-4;2.22E+00;kg;F3DF8DDC-BC4C-42C4-951C-97ED6D10A4E8
Raw;(unspecified);Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;007440-06-4;2.22E+00;kg;69C04C98-0306-4D66-B3F5-7C8BA3541B8F
Raw;(unspecified);Platinum, Pt 4.7E-7%, in mixed ore;007440-06-4;2.22E+00;kg;68FC2B23-FDE7-493B-8341-7E4866FF0461
Raw;(unspecified);Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;007440-06-4;2.22E+00;kg;385639F3-B981-4BCC-B1B6-583CF64E410A
Raw;(unspecified);Potassium;007440-09-7;1.60E-08;kg;2F40272B-6503-440C-815B-F10B7ECBB373
Raw;(unspecified);Rhenium;007440-15-5;6.03E-01;kg;1744B891-EE9A-4A45-9816-396BC3E76264
Raw;(unspecified);Selenium;007782-49-2;1.94E-01;kg;9D254087-4859-4C8D-AAD4-F12E994ADD75
Raw;(unspecified);Silicon;007440-21-3;1.40E-11;kg;28EEAEC0-A3F7-41A2-B857-CDBBA2D288E6
Raw;(unspecified);Silver;007440-22-4;1.18E+00;kg;A0CFBE36-55B5-4A55-8B19-20CAC7EF46B2
Raw;(unspecified);Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In;007440-22-4;1.18E+00;kg;2745BF06-941D-4747-82EC-AE76252DA0BF
Raw;(unspecified);Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore;007440-22-4;1.18E+00;kg;74263A82-6483-4F21-8B06-9B3FDD2DBE13
Raw;(unspecified);Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore;007440-22-4;1.18E+00;kg;731FDEAD-E3A6-4DFD-BDF5-EB18930DD5EA
Raw;(unspecified);Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore;007440-22-4;1.18E+00;kg;739AC203-3CEB-4237-A0F8-77E26925CE32
Raw;(unspecified);Silver, Ag 1.8E-6%, in mixed ore;007440-22-4;1.18E+00;kg;AAB39F9A-4D65-437A-A931-270305C9CDEB
Raw;(unspecified);Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore;007440-22-4;1.18E+00;kg;FEF7F93D-0701-47F0-A704-724BB8077C72
Raw;(unspecified);Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore;007440-22-4;1.18E+00;kg;43E92589-6943-4846-8176-EA719676373D
Raw;(unspecified);Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore;007440-22-4;1.18E+00;kg;AB2BC18E-693A-4728-9C48-3C1837F80CC1
Raw;(unspecified);Silver, Ag 5.4E-3%, in mixed ore;007440-22-4;1.18E+00;kg;5B347D5E-EDEA-460E-B65D-14C115F36B1E
Raw;(unspecified);Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore;007440-22-4;1.18E+00;kg;C93703BA-8376-47E5-8B7B-55621C86B6C7
Raw;(unspecified);Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;007440-22-4;1.18E+00;kg;1A74B480-F202-486E-901C-1FDBA523B6FB
Raw;(unspecified);Sodium;007440-23-5;5.50E-08;kg;4B9E3A17-7E1E-46F1-86CE-F28656167B5E
